%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211065, 2021/04/1 1:24:59.65)
1 7 2.665414e-01 1.062689e+00  5.402055000000000000e+06  5.402055000000000000e+06  6.190845500000000000e+06  6.746901000000000000e+06 250.000000
2 13 2.660460e-01 1.232595e+00  2.001018000000000000e+06  2.001018000000000000e+06  6.683692500000000000e+06  8.266515000000000000e+06 250.000000
3 19 2.434681e-01 1.229237e+00  2.001018000000000000e+06  4.909190000000000000e+06  6.420670000000000000e+06  1.337108700000000000e+07 250.000000
4 25 3.251883e-01 1.405282e+00  6.698280000000000000e+05  6.698280000000000000e+05  2.176803500000000000e+06  6.559849000000000000e+06 250.000000
5 31 3.051130e-01 1.319073e+00  6.698280000000000000e+05  5.320021000000000000e+06  6.584086000000000000e+06  1.355675000000000000e+07 250.000000
6 37 2.952052e-01 1.380376e+00  6.698280000000000000e+05  1.468910000000000000e+06  5.252657000000000000e+06  6.685878000000000000e+06 250.000000
7 43 3.515042e-01 1.564712e+00  4.059360000000000000e+05  4.059360000000000000e+05  5.821154500000000000e+06  6.671628000000000000e+06 250.000000
8 49 3.105270e-01 1.536889e+00  4.059360000000000000e+05  4.383800000000000000e+05  1.750774500000000000e+06  6.505676000000000000e+06 250.000000
9 55 3.001671e-01 1.711226e+00  2.368450000000000000e+05  2.368450000000000000e+05  3.130235000000000000e+05  1.081657500000000000e+07 250.000000
10 61 2.196499e-01 1.745655e+00  2.368450000000000000e+05  2.756070000000000000e+05  1.605156500000000000e+06  3.131747000000000000e+06 250.000000
11 67 1.806004e-01 1.792552e+00  2.115910000000000000e+05  2.115910000000000000e+05  1.074263000000000000e+06  3.746421000000000000e+06 250.000000
12 73 1.416609e-01 1.815317e+00  2.115910000000000000e+05  3.821000000000000000e+05  7.445410000000000000e+05  1.908935000000000000e+06 250.000000
13 79 1.318040e-01 2.007349e+00  2.064260000000000000e+05  2.064260000000000000e+05  7.368410000000000000e+05  2.570432000000000000e+06 250.000000
14 85 1.057599e-01 2.118850e+00  1.884640000000000000e+05  1.884640000000000000e+05  4.831215000000000000e+05  1.293570000000000000e+06 250.000000
15 91 8.763454e-02 2.136236e+00  1.884640000000000000e+05  2.436070000000000000e+05  4.029095000000000000e+05  7.520180000000000000e+05 250.000000
16 97 8.120304e-02 1.914554e+00  1.884640000000000000e+05  1.909480000000000000e+05  3.315135000000000000e+05  5.750170000000000000e+05 250.000000
17 103 7.277200e-02 1.993013e+00  1.884640000000000000e+05  2.037550000000000000e+05  2.761345000000000000e+05  4.765360000000000000e+05 250.000000
18 109 6.626624e-02 2.190438e+00  1.881620000000000000e+05  1.881620000000000000e+05  2.172605000000000000e+05  4.370400000000000000e+05 250.000000
19 115 5.350944e-02 2.213693e+00  1.881620000000000000e+05  2.061890000000000000e+05  2.366385000000000000e+05  3.935500000000000000e+05 250.000000
20 121 6.792270e-02 3.010978e+00  1.768060000000000000e+05  1.768060000000000000e+05  1.955395000000000000e+05  2.144870000000000000e+05 250.000000
21 127 5.065779e-02 3.110414e+00  1.768060000000000000e+05  1.988770000000000000e+05  2.198505000000000000e+05  4.985200000000000000e+05 250.000000
22 133 4.544541e-02 3.016422e+00  1.768060000000000000e+05  1.871020000000000000e+05  2.081150000000000000e+05  2.815190000000000000e+05 250.000000
23 139 5.678372e-02 3.578489e+00  1.592180000000000000e+05  1.592180000000000000e+05  1.848765000000000000e+05  2.164580000000000000e+05 250.000000
24 145 6.372941e-02 4.015913e+00  1.496980000000000000e+05  1.496980000000000000e+05  2.144090000000000000e+05  2.333110000000000000e+05 250.000000
25 151 6.062999e-02 4.184914e+00  1.496980000000000000e+05  1.632510000000000000e+05  1.750095000000000000e+05  2.075580000000000000e+05 250.000000
26 157 4.580108e-02 4.104578e+00  1.496980000000000000e+05  1.678400000000000000e+05  1.793395000000000000e+05  2.477220000000000000e+05 250.000000
27 163 4.795243e-02 4.310687e+00  1.496980000000000000e+05  1.515380000000000000e+05  1.769300000000000000e+05  1.865860000000000000e+05 250.000000
28 169 3.977499e-02 4.296771e+00  1.480290000000000000e+05  1.480290000000000000e+05  1.650485000000000000e+05  2.259620000000000000e+05 250.000000
29 175 5.765044e-02 3.420004e+00  1.457980000000000000e+05  1.457980000000000000e+05  1.551360000000000000e+05  1.992480000000000000e+05 250.000000
30 181 6.502140e-02 3.880555e+00  1.457980000000000000e+05  1.641200000000000000e+05  1.824230000000000000e+05  2.512370000000000000e+05 250.000000
31 187 4.989684e-02 4.019335e+00  1.457980000000000000e+05  1.532480000000000000e+05  1.760920000000000000e+05  2.269330000000000000e+05 250.000000
32 193 4.684198e-02 4.482689e+00  1.401360000000000000e+05  1.401360000000000000e+05  1.545205000000000000e+05  1.962200000000000000e+05 250.000000
33 199 4.199843e-02 4.099168e+00  1.401360000000000000e+05  1.445300000000000000e+05  1.614765000000000000e+05  1.777720000000000000e+05 250.000000
34 205 3.852498e-02 4.424735e+00  1.401360000000000000e+05  1.496170000000000000e+05  1.616415000000000000e+05  1.836150000000000000e+05 250.000000
35 211 4.332671e-02 3.764643e+00  1.401360000000000000e+05  1.404020000000000000e+05  1.520190000000000000e+05  1.809130000000000000e+05 250.000000
36 217 4.326016e-02 3.576018e+00  1.353970000000000000e+05  1.353970000000000000e+05  1.576885000000000000e+05  1.782230000000000000e+05 250.000000
37 223 5.623066e-02 3.900804e+00  1.344170000000000000e+05  1.344170000000000000e+05  1.401685000000000000e+05  1.754130000000000000e+05 250.000000
38 229 4.889103e-02 3.966961e+00  1.344170000000000000e+05  1.378770000000000000e+05  1.503635000000000000e+05  1.651520000000000000e+05 250.000000
39 235 4.626721e-02 3.920171e+00  1.300420000000000000e+05  1.300420000000000000e+05  1.413275000000000000e+05  1.973330000000000000e+05 250.000000
40 241 4.790750e-02 3.612639e+00  1.251130000000000000e+05  1.251130000000000000e+05  1.440830000000000000e+05  1.491180000000000000e+05 250.000000
41 247 6.480266e-02 5.357137e+00  1.162860000000000000e+05  1.162860000000000000e+05  1.254850000000000000e+05  1.361680000000000000e+05 250.000000
42 253 8.864081e-02 4.630326e+00  1.096390000000000000e+05  1.096390000000000000e+05  1.215560000000000000e+05  1.462940000000000000e+05 250.000000
43 259 1.352492e-01 4.792412e+00  9.929000000000000000e+04  9.929000000000000000e+04  1.317475000000000000e+05  1.452230000000000000e+05 250.000000
44 265 1.609816e-01 4.126165e+00  9.929000000000000000e+04  1.423200000000000000e+05  2.202115000000000000e+05  3.379700000000000000e+05 250.000000
45 271 1.332667e-01 4.131803e+00  8.338900000000000000e+04  8.338900000000000000e+04  1.337905000000000000e+05  2.840470000000000000e+05 250.000000
46 277 1.632891e-01 5.499427e+00  8.338900000000000000e+04  1.263280000000000000e+05  1.772570000000000000e+05  3.003560000000000000e+05 250.000000
47 283 1.293003e-01 5.548752e+00  8.338900000000000000e+04  8.607700000000000000e+04  1.832995000000000000e+05  7.367100000000000000e+05 250.000000
48 289 1.040189e-01 5.419676e+00  8.338900000000000000e+04  8.573900000000000000e+04  1.248060000000000000e+05  1.771510000000000000e+05 250.000000
49 295 9.199922e-02 5.016479e+00  8.338900000000000000e+04  8.732800000000000000e+04  1.083155000000000000e+05  2.259300000000000000e+05 250.000000
50 301 6.963186e-02 5.148323e+00  8.338900000000000000e+04  8.766900000000000000e+04  1.058465000000000000e+05  1.526590000000000000e+05 250.000000
51 307 5.796892e-02 5.240437e+00  8.338900000000000000e+04  8.536200000000000000e+04  1.008035000000000000e+05  1.067950000000000000e+05 250.000000
52 313 5.142345e-02 5.195701e+00  8.338900000000000000e+04  8.850100000000000000e+04  9.560300000000000000e+04  9.732700000000000000e+04 250.000000
53 319 4.581563e-02 5.987268e+00  8.338900000000000000e+04  8.846000000000000000e+04  9.137800000000000000e+04  9.175000000000000000e+04 250.000000
54 325 4.250399e-02 5.471660e+00  8.071500000000000000e+04  8.071500000000000000e+04  8.596800000000000000e+04  1.004160000000000000e+05 250.000000
55 331 5.111668e-02 6.282506e+00  8.071500000000000000e+04  8.107300000000000000e+04  8.668400000000000000e+04  9.166100000000000000e+04 250.000000
56 337 3.674943e-02 6.403914e+00  8.071500000000000000e+04  8.227500000000000000e+04  8.731650000000000000e+04  9.361800000000000000e+04 250.000000
57 343 3.719489e-02 7.568726e+00  8.071500000000000000e+04  8.206200000000000000e+04  8.381400000000000000e+04  8.928900000000000000e+04 250.000000
58 349 4.522487e-02 8.586131e+00  8.071500000000000000e+04  8.211600000000000000e+04  8.370500000000000000e+04  9.278500000000000000e+04 250.000000
59 355 5.871121e-02 9.489313e+00  7.904100000000000000e+04  7.904100000000000000e+04  8.271050000000000000e+04  9.047800000000000000e+04 250.000000
